gene	baseMean	log2FoldChange	pvalue	padj
PPIP5K2	4135.1	1.8	8.804e-26	8.767e-22
SFT2D2	1455.9	2	3.828e-23	1.670e-19
INTS3	721.2	2	5.519e-23	2.120e-19
METTL14	531.7	1.6	1.509e-20	4.344e-17
KLHL9	845.2	1.7	1.964e-19	4.282e-16
SKA2	1273.7	2.4	2.388e-19	4.282e-16
CAMLG	743	-1.6	7.881e-19	1.297e-15
KLC4	206.5	-1.7	1.612e-18	2.949e-15
KIAA1524	629.6	3	3.626e-18	4.423e-15
LSM10	1016.7	-2	7.872e-18	7.389e-15
BRMS1	1083.4	-1.3	1.777e-17	1.390e-14
EPN2	378.6	2.7	1.211e-17	1.390e-14
POLR3GL	643.7	1.6	5.782e-17	4.231e-14
DIS3L2	317.4	3.4	4.638e-17	4.231e-14
IRF9	258.8	1.7	3.764e-17	4.231e-14
CIT	1560.8	2.8	8.582e-17	4.863e-14
INPP5D	3925.4	1.2	9.553e-17	5.414e-14
WDR62	1159.1	2.1	1.030e-16	5.414e-14
AGGF1	652.8	1.7	2.238e-16	1.541e-13
BET1L	799.5	-1.8	4.346e-16	2.386e-13
IKZF1	1630.4	2.2	5.780e-16	2.403e-13
PTTG1	3224.9	2.5	5.947e-16	2.697e-13
SDSL	596	2.4	6.468e-16	2.697e-13
ETF1	2662.2	-1.1	8.267e-16	3.166e-13
SMC2	2180.4	2.5	7.751e-16	3.166e-13
ADCK1	413.1	2.6	4.424e-16	3.166e-13
CASC5	1804.5	2.5	9.978e-16	3.469e-13
CARKD	585.4	1.4	1.473e-15	6.879e-13
RAB6B	1286.1	2.5	2.765e-15	8.725e-13
CENPT	1100.3	1.6	3.786e-15	1.101e-12
MKI67	6957.4	2.9	5.921e-15	1.848e-12
MDC1	544.2	2.2	5.582e-15	2.011e-12
SIN3A	1323.6	-1.1	7.322e-15	2.030e-12
CCDC93	363.3	2.1	6.948e-15	2.157e-12
SESN2	2971	-2.3	7.310e-15	2.557e-12
DYNLT1	529	2	9.108e-15	2.730e-12
MIEN1	802.5	-1.4	9.200e-15	2.730e-12
NKIRAS2	1283.3	-1.1	1.161e-14	2.819e-12
SCYL1	2900	-1.6	1.008e-14	3.164e-12
ZNF384	429.9	-1.6	1.439e-14	3.704e-12
MICAL3	1468.3	1.8	1.630e-14	3.704e-12
HDAC8	367.1	1.5	1.875e-14	4.492e-12
CALM3	4166.5	1.8	1.945e-14	4.613e-12
CYB5B	733.2	1.9	2.313e-14	6.058e-12
VEZF1	1844.2	-1.2	3.628e-14	7.309e-12
IMMP1L	388.9	1.6	4.218e-14	9.228e-12
DNPEP	583.2	-1.1	4.777e-14	9.748e-12
HLTF	1302.9	1.8	5.953e-14	1.145e-11
SPN	2595	2.2	6.067e-14	1.263e-11
UBE2T	1768	2.5	7.510e-14	1.374e-11
WDR34	1809.3	2.5	7.850e-14	1.395e-11
POP1	252.6	2.4	4.916e-14	1.499e-11
POLQ	890.5	2.7	7.066e-14	1.534e-11
KDM3B	1715.2	-1.1	8.825e-14	1.534e-11
ADD3	1000.3	1.7	9.356e-14	1.597e-11
PARP9	648.4	1.9	7.921e-14	1.850e-11
MTRF1	315.8	1.2	1.286e-13	2.230e-11
ESCO1	440.1	-1.4	9.887e-14	2.230e-11
FAF1	294.7	2.6	1.248e-13	2.233e-11
FASTKD1	578.8	1.7	1.431e-13	2.715e-11
STK10	759.1	1.7	1.438e-13	2.715e-11
PHF19	332.2	2.4	1.463e-13	3.086e-11
DHODH	359.9	1.9	1.927e-13	3.228e-11
RNGTT	497.8	2.4	2.036e-13	4.160e-11
EIF1	28164.1	-1.4	3.785e-13	4.318e-11
CUTA	1261.5	-1.4	3.555e-13	4.702e-11
SRA1	1933.2	-1.4	3.494e-13	4.813e-11
