gene	baseMean	log2FoldChange	pvalue	padj
PKM	1976.4	10.6	3.565e-190	1.029e-185
TNS1	26244.5	-6.9	2.583e-162	3.726e-158
SLC25A37	195757.6	-6.3	1.546e-133	6.458e-130
TRAK2	13529.9	-4.9	1.235e-105	4.344e-102
AGPAT2	143.6	7.5	1.845e-105	7.611e-102
DOCK2	373.8	8.7	1.791e-99	4.730e-96
SLC4A1	63651.4	-9.4	6.760e-96	1.359e-92
HBA2	781957.4	-8.3	7.067e-94	2.253e-90
CLU	818.5	8.5	5.372e-91	7.636e-88
PIGQ	7370.2	-4.1	2.349e-87	4.669e-84
SNX22	895.2	-5.2	2.203e-86	2.949e-83
CD53	469.7	7.6	8.688e-86	9.356e-83
NFIA	4157	-4.2	8.983e-86	1.763e-82
HLA-E	875.6	5	6.994e-85	7.355e-82
QSOX1	468.5	6.9	1.413e-84	2.346e-81
ARHGDIB	2010.6	6.2	1.447e-83	1.133e-80
GAB1	1977.4	-3.2	1.291e-80	1.937e-77
DNAJA4	3820.7	-4.9	2.572e-80	2.011e-77
ANK1	27203.9	-4.5	9.961e-79	1.513e-75
SLC25A39	98563.2	-4.1	9.374e-78	1.196e-74
S100A11	848.5	8.8	2.419e-77	1.535e-74
SOX6	2724.6	-8	1.169e-76	1.533e-73
EPOR	5014.2	-3.6	4.101e-76	4.548e-73
DMTN	16505.4	-3.7	8.170e-74	6.767e-71
TMEM56	3040.4	-6.7	6.122e-73	7.066e-70
PPOX	3294	-3.3	1.304e-72	1.447e-69
TSPO2	1800.8	-9	1.349e-71	7.446e-69
FAM132B	1985.3	-7.1	1.209e-71	8.580e-69
RAD23A	10450.8	-3	2.032e-71	9.863e-69
HMBS	49478.2	-5.4	8.678e-71	8.346e-68
HAGH	5024.2	-3.5	2.813e-70	1.137e-67
CORO1A	693.7	7.9	1.183e-69	4.631e-67
SLC22A4	2867.3	-4.7	5.187e-69	1.969e-66
NDST1	256.8	7.7	6.419e-69	2.978e-66
GDF15	24091.5	-5.5	6.149e-68	2.472e-65
RAB3IL1	1325.7	-6.5	3.972e-67	1.356e-64
RAP1GAP	10780.6	-7	1.133e-66	6.090e-64
MGST1	385.3	8.3	9.772e-67	6.402e-64
ARHGAP4	456.8	6.5	1.834e-66	1.171e-63
TNXB	2411.1	-6.6	3.162e-65	9.904e-63
CR1L	2068.2	-5.5	7.821e-65	2.685e-62
CAPN5	797.6	-5.9	1.623e-64	4.943e-62
ANXA2	697.7	7.4	2.804e-63	8.341e-61
HCLS1	859.8	4	6.273e-63	1.786e-60
PPP1R26	67.9	5.9	4.901e-62	2.074e-59
ENPP3	348.3	8.2	1.193e-61	3.353e-59
KEL	3675.5	-4.8	1.176e-61	6.382e-59
FXYD5	736.3	5.6	2.488e-61	6.495e-59
IL9R	309	8.2	7.866e-61	3.997e-58
IL15RA	570.3	-3.7	2.088e-60	5.341e-58
SLC2A1	41223.5	-4.5	2.890e-60	7.100e-58
ACHE	3182	-7.4	4.501e-60	1.218e-57
MFSD10	613.7	5.5	6.150e-60	1.454e-57
FES	399.9	4.7	7.810e-60	3.802e-57
RP11-85G21.3	3063.1	-7.2	1.443e-59	5.217e-57
ITSN1	1173.7	-4.4	7.000e-59	1.837e-56
RFESD	1676.4	-4.6	1.042e-58	2.291e-56
CNN2	459.8	5	9.207e-59	4.173e-56
KCNAB2	907.5	3.7	5.766e-58	1.250e-55
GYPC	25713.8	-3.9	1.765e-56	3.685e-54
SLC22A23	1694.7	-3.7	7.207e-56	1.575e-53
SPTA1	21834.6	-5.7	2.967e-55	1.381e-52
SLC6A9	4749.9	-7.1	1.360e-54	2.705e-52
DBI	750.1	4.9	1.723e-54	3.963e-52
CD63	2649.3	6.2	2.190e-54	8.593e-52
KLHDC8A	1648.1	-6.2	4.299e-54	9.706e-52
SMIM5	2302.1	-4.3	6.807e-54	1.273e-51
ICAM3	275.2	5.9	1.708e-53	3.962e-51
DOK2	136.1	6.1	1.857e-53	5.200e-51
OSBP2	10144.9	-6	1.656e-53	6.037e-51
BST2	428.4	4.5	3.352e-53	7.484e-51
RHCE	7813.1	-6.9	3.327e-53	1.333e-50
HBM	25525	-9.5	4.777e-53	1.888e-50
WIPI1	1018.4	-2.8	1.969e-52	3.966e-50
P2RY8	278.9	7.9	4.484e-52	1.138e-49
NAAA	60.5	5.8	8.258e-52	2.092e-49
CTSS	108.3	8.9	8.975e-52	2.252e-49
PRSS57	1058.3	11.2	1.907e-51	3.643e-49
FAM65C	14857.4	-4.5	4.732e-51	8.431e-49
YPEL4	4670.4	-5.5	3.150e-51	1.004e-48
SERPINB1	872.4	3.4	1.201e-50	1.858e-48
MSRB3	143.1	6.3	1.285e-50	3.234e-48
LIMD2	192.3	5.8	1.863e-50	4.118e-48
PARVG	282.4	7.7	1.862e-50	4.118e-48
AHSP	59630.8	-7	2.367e-50	7.103e-48
ALAS2	134100.6	-7.8	3.380e-50	1.134e-47
EPB42	33840.9	-7.3	4.253e-50	1.247e-47
RAB3D	201.8	7.5	1.031e-49	1.849e-47
SLC6A8	1068.7	-5	1.195e-49	2.001e-47
TWF2	100.2	3.4	1.756e-49	3.914e-47
CTSW	161.7	7.6	2.471e-49	5.043e-47
GM2A	447.6	5.7	7.238e-49	1.017e-46
ART4	1560.2	-9.1	8.910e-49	1.177e-46
PTPN6	878.1	8.1	8.871e-49	1.258e-46
SLC25A42	608.3	-3.4	9.751e-49	1.313e-46
HLA-DRB1	144.5	9.6	7.707e-49	1.656e-46
MFSD2B	2577.2	-3.5	1.500e-48	1.938e-46
OPTN	14737.2	-4	1.859e-48	2.377e-46
MICAL2	11231.7	-3.6	2.301e-48	3.272e-46
ITPR2	595.7	4.7	4.244e-48	5.429e-46
GAB2	251.3	6	4.179e-48	8.662e-46
CD97	313.2	3.9	1.037e-47	1.314e-45
LEPROT	2572.5	-1.9	1.201e-47	1.447e-45
BHLHE40	220.9	8.6	8.072e-48	1.447e-45
C16orf54	131.1	8	9.237e-48	1.700e-45
RHOH	163.5	6.3	1.014e-47	1.776e-45
UBAC1	9133.3	-4.1	1.534e-47	2.018e-45
GMFG	452.3	5.6	9.315e-48	2.147e-45
MGST3	5574.7	-4.5	8.671e-48	2.295e-45
NGFRAP1	171.8	7	2.628e-47	4.548e-45
CTSL	4095.8	-4.1	4.775e-47	6.054e-45
FAM13A	1344.5	-3.7	8.195e-47	1.090e-44
CD38	328.2	8	5.178e-47	1.141e-44
FAM122C	276.5	-3	9.297e-47	1.553e-44
KDM4C	2920.6	-2.2	1.075e-46	1.859e-44
SP2	1226.4	-1.7	2.285e-46	2.895e-44
FCHO2	1868.2	-3.5	3.005e-46	3.156e-44
CHAC2	562.6	-3.2	3.611e-46	3.860e-44
MBOAT7	542	4.6	3.718e-46	3.915e-44
ATP1B2	1179.8	-7.7	7.214e-46	7.387e-44
DCUN1D1	9708.7	-2.5	7.384e-46	8.589e-44
AP2A1	2636.9	-3.1	1.200e-45	1.232e-43
ALAS1	1346.2	4.2	1.254e-45	1.277e-43
SPTB	17075.2	-5.7	1.341e-45	2.150e-43
ARHGAP9	281.6	7.5	1.699e-45	2.588e-43
MBNL2	6149.7	-3.1	1.596e-45	3.232e-43
COTL1	440.3	7.6	2.362e-45	3.541e-43
SORBS1	1374.2	-3.5	5.729e-45	6.670e-43
ARHGEF6	959.1	5.6	8.076e-45	9.330e-43
HP1BP3	2905.6	-1.5	9.892e-45	9.535e-43
ANXA1	1977.5	8.8	1.748e-44	1.672e-42
LY6E	228.3	5.7	1.912e-44	2.285e-42
MANBA	292	3.6	3.572e-44	3.471e-42
SYTL1	96.4	4.3	5.395e-44	7.779e-42
ACTG1	6880	4.6	4.688e-44	8.859e-42
ITGB2	679.1	6.9	1.198e-43	1.104e-41
MSN	3712.2	4.1	1.748e-43	1.599e-41
HSH2D	412.7	7.4	1.380e-43	1.904e-41
ARPC1B	814.6	3.8	2.207e-43	1.989e-41
CST7	321.5	10.5	1.818e-43	2.058e-41
RAB37	288.6	6.9	3.707e-43	6.547e-41
ISG20	3261.8	-5.1	7.036e-43	1.264e-40
TANGO2	2825.1	-3.4	2.007e-42	4.049e-40
ANKRD44	75.3	6.2	3.201e-42	4.585e-40
MBOAT2	3015.1	-3.9	2.634e-42	5.242e-40
MYL4	2920	-5.6	7.386e-42	6.339e-40
IFITM2	1359.4	7.2	8.293e-42	6.932e-40
BTG2	8282.4	-3.3	7.468e-42	1.003e-39
ST3GAL4	387.4	4.1	1.651e-41	1.432e-39
HK2	181.6	6.8	2.922e-41	3.088e-39
RNF130	1140.8	5.9	3.815e-41	3.104e-39
RAB6B	1286.1	-4.6	3.909e-41	3.833e-39
ARRB1	130.1	5.7	3.820e-41	4.754e-39
PYGL	582.6	5.6	7.110e-41	5.785e-39
PLEK	869.5	9	9.910e-41	8.065e-39
CD37	276.8	4.1	7.103e-41	8.670e-39
PHOSPHO1	5135.4	-6.7	7.410e-41	9.383e-39
AHNAK	665.9	7.4	1.250e-40	1.165e-38
TAGAP	91.9	7.3	9.892e-41	1.185e-38
LGALS1	903.3	10.8	1.859e-40	1.549e-38
PLCG2	94.3	7.5	1.417e-40	1.815e-38
CLCN3	7183	-4.2	1.201e-40	2.138e-38
ARRDC1	349.3	3.4	2.791e-40	2.715e-38
MLKL	55.6	6.1	3.516e-40	2.735e-38
SMYD3	113.8	3.8	2.583e-40	2.980e-38
GRAMD1A	74.5	6.2	2.904e-40	3.331e-38
GCNT1	133	6.6	2.904e-40	3.489e-38
MPO	3598.5	10.5	2.664e-40	4.045e-38
CAPG	698.9	8.6	1.094e-39	9.535e-38
PPIP5K2	4135.1	-2.4	9.079e-40	1.354e-37
IL2RG	361.7	6.8	1.459e-39	1.354e-37
