gene	baseMean	log2FoldChange	pvalue	padj
RELA	1865.2	-3.6	1.897e-64	3.207e-60
LSM10	1016.7	-3.9	5.725e-64	4.837e-60
CENPU	2095.4	3.1	1.374e-63	7.387e-60
TMUB2	3465.7	-3.3	2.565e-63	1.019e-59
ZNF24	2411	-2.2	3.156e-62	1.067e-58
SFT2D2	1455.9	3.2	1.538e-59	4.072e-56
NUB1	2629.4	-3.2	1.079e-54	2.448e-51
PNKD	4735.3	-4.7	1.629e-53	4.314e-50
SPATA2	344.4	-2.8	3.755e-53	7.611e-50
EAF1	1019.7	-2.3	1.117e-52	1.888e-49
BET1L	799.5	-3.3	1.290e-52	2.160e-49
YY1AP1	3043.5	-2.9	9.899e-53	2.265e-49
RSBN1L-AS1	248	-4	2.105e-52	2.567e-49
TAOK3	4882.4	-2.7	1.696e-52	2.567e-49
HIST1H2AC	2792.2	-4.7	2.267e-52	3.201e-49
EPM2A	266.6	-7.4	5.120e-52	5.161e-49
DUT	1801.7	3.3	1.381e-51	1.291e-48
SLC35C2	1933.5	-3.3	1.231e-51	1.449e-48
WDR62	1159.1	3.8	1.693e-51	1.506e-48
FOSL1	531.5	-4.8	2.578e-51	2.352e-48
FOXP1	3370.9	-3.2	5.222e-51	3.950e-48
NONO	4125.9	2.1	6.698e-51	5.145e-48
ATP6V0E1	4963.1	-2.7	1.155e-50	1.064e-47
DNPEP	583.2	-2.2	2.024e-50	1.425e-47
KANSL3	3259.7	-3.3	1.490e-50	1.636e-47
TYMS	1120.1	4.5	1.026e-49	6.666e-47
ATXN7L3	821.3	-3.8	2.624e-49	1.790e-46
C1orf116	695.2	-6.6	3.089e-49	1.864e-46
KLHL28	719.9	-2.6	6.669e-49	3.653e-46
ATG13	5092.7	-2.2	8.117e-49	4.573e-46
SKA2	1273.7	3.8	6.769e-48	3.412e-45
CBFA2T2	2775.6	-6.4	6.727e-48	3.412e-45
BRMS1	1083.4	-2.2	8.589e-48	4.197e-45
SMC2	2180.4	4.4	9.312e-48	4.351e-45
TMEM167B	1301.8	-3.2	1.177e-47	4.621e-45
POLQ	890.5	5.1	8.815e-48	4.621e-45
IRF3	2183.9	-3.5	1.153e-47	6.603e-45
KIAA1524	629.6	5	1.888e-47	9.064e-45
MCOLN1	2240.8	-3.1	1.399e-47	9.850e-45
TNPO1	1472.5	-3.1	3.032e-47	1.222e-44
DAZAP2	8849.6	-2.1	4.938e-47	1.913e-44
OSER1	8037.9	-4.6	5.307e-47	2.677e-44
DCP1A	1761.2	-2.1	1.004e-46	3.300e-44
ZC3HAV1	12620.3	-3.3	1.119e-46	4.100e-44
ISCU	18605.1	-3.5	1.167e-46	4.182e-44
CASC5	1804.5	4.5	2.494e-46	7.664e-44
CRIPT	1397.9	-3	3.762e-46	1.129e-43
MYLIP	599.9	-4.3	3.359e-46	1.129e-43
UIMC1	5192.6	-3.7	3.045e-46	1.706e-43
NSUN3	3585.9	-4.5	5.519e-46	1.780e-43
UBE2T	1768	4.8	5.911e-46	1.841e-43
TMEM115	2156.6	-3	6.453e-46	1.967e-43
SMC4	2589.6	2.2	4.921e-46	1.967e-43
KDM3B	1715.2	-2	1.143e-45	3.576e-43
NFYB	537.5	3.3	1.218e-45	4.081e-43
COL4A3BP	581.5	-1.7	1.243e-45	4.091e-43
EXOSC9	791	2.1	8.267e-45	2.306e-42
PIAS4	655.7	-3.1	7.914e-45	2.306e-42
DHX40	1418.2	-3.8	1.072e-44	2.931e-42
SCYL1	2900	-3	8.593e-45	3.034e-42
C9orf78	9726	-3	3.454e-44	8.995e-42
POLR1D	6065.3	-3.2	5.769e-44	1.572e-41
PDP2	121.4	-3.8	1.035e-43	2.650e-41
KLC4	206.5	-2.6	1.453e-43	3.836e-41
RAB39B	272.8	-5.1	1.956e-43	5.272e-41
HUWE1	6607.7	-1.7	2.515e-43	6.439e-41
RAB9A	1726.2	-4.2	2.772e-43	6.671e-41
CIT	1560.8	4.6	4.576e-43	8.179e-41
HIST1H1C	8884.9	-4.8	3.923e-43	1.205e-40
MED29	1858.7	-2.1	6.588e-43	1.495e-40
TAX1BP1	8207.6	-2.8	8.677e-43	2.065e-40
AMMECR1L	553	-2.5	1.218e-42	2.686e-40
DENND2D	442.6	-4.9	1.829e-42	4.234e-40
DHFR	374.4	4.3	2.261e-42	5.163e-40
WASF2	10683.5	-2.2	2.790e-42	5.965e-40
BIRC2	3653.6	-3.3	2.854e-42	5.965e-40
TMEM134	312.2	-4.3	2.877e-42	6.303e-40
RMND5A	3672.4	-1.9	4.144e-42	8.978e-40
KDM3A	1885.9	-2.7	6.221e-42	1.251e-39
PCBD2	280.8	2.7	5.788e-42	1.267e-39
SLC35C1	303.8	-2.6	8.625e-42	1.717e-39
IFT20	467.6	-3.4	9.829e-42	2.186e-39
MAT2B	18115.5	-3.9	1.512e-41	3.051e-39
CYLD	1199.3	-2.6	1.516e-41	3.051e-39
REEP4	7049.4	-3	4.563e-41	9.072e-39
SYF2	2083.3	-2.2	3.779e-41	9.310e-39
POLR3GL	643.7	2.4	6.724e-41	1.306e-38
TBCD	444	3.2	5.983e-41	1.407e-38
C18orf8	3534.3	-3.1	5.910e-41	1.407e-38
ETF1	2662.2	-1.8	9.758e-41	1.832e-38
ZNHIT2	454.1	-3.6	8.028e-41	1.839e-38
LMNB2	540.1	3.9	1.377e-40	2.730e-38
JADE1	1376.2	3.4	1.768e-40	3.021e-38
SUPT5H	3017.1	-2.1	1.260e-40	3.678e-38
FOXJ3	1243.6	-1.5	3.004e-40	4.470e-38
NKIRAS2	1283.3	-1.8	3.811e-40	6.402e-38
TTK	913.4	4.4	4.017e-40	6.679e-38
G2E3	847.8	2.3	3.657e-40	6.807e-38
VEZF1	1844.2	-2.1	5.356e-40	7.647e-38
MAD2L1	1244.1	4.2	5.195e-40	8.253e-38
ARL13B	507.3	-2.3	6.733e-40	1.216e-37
BOLA3	572.8	3.5	8.476e-40	1.404e-37
EXOC6	898.5	3.8	1.067e-39	1.751e-37
B4GALT3	11218.1	-4	1.169e-39	1.785e-37
RNF181	1459.2	-2	2.603e-39	3.013e-37
VPS28	3826.8	-2.5	1.515e-39	3.029e-37
NR1D1	187.2	-7.7	2.429e-39	3.837e-37
BARD1	680.8	3.7	2.612e-39	3.842e-37
CNPPD1	17880.9	-4	2.604e-39	3.853e-37
DDIT3	3088	-3.9	2.847e-39	4.111e-37
PLEKHM3	612	-3.5	2.834e-39	4.118e-37
SH3GLB1	2067	-2.7	3.139e-39	4.736e-37
CEP76	820.2	-2.1	2.980e-39	4.811e-37
CAMLG	743	-2.4	4.799e-39	6.788e-37
HMMR	1412.1	3.4	7.583e-39	8.015e-37
VPS29	1347.4	1.9	8.642e-39	9.055e-37
RBBP8	682.1	3.6	1.087e-38	1.498e-36
RBL1	602.2	4.2	1.069e-38	1.653e-36
ZNF510	319.9	-3.7	1.676e-38	2.376e-36
ISG15	1129.2	-4.9	2.381e-38	2.412e-36
CHP1	10003.2	-2.3	1.407e-38	2.423e-36
HDAC5	2641.7	-3.5	1.823e-38	2.423e-36
LPIN2	26918.4	-3.8	1.081e-38	2.423e-36
FBXL20	1424.9	-3	2.229e-38	2.899e-36
ENOSF1	1057.7	3.2	2.574e-38	3.321e-36
ZFAND2A	569.1	-3.3	2.423e-38	3.508e-36
FGFR4	89.4	-6.6	3.634e-38	4.118e-36
C6orf1	536.3	-3.3	3.463e-38	4.363e-36
DYNLT1	529	3.3	3.858e-38	4.823e-36
HMGN2	5374.6	2.4	3.800e-38	4.939e-36
PYGB	465.9	-4.2	4.152e-38	5.111e-36
TRPV2	1527.4	-6.3	1.013e-37	9.331e-36
UBXN7	993.8	-2.5	1.094e-37	1.307e-35
BTG3	1179.6	3.2	1.126e-37	1.355e-35
CDIP1	520.7	-3	1.147e-37	1.370e-35
RP11-690G19.3	714.3	-2.4	1.179e-37	1.398e-35
IMMP1L	388.9	2.6	1.052e-37	1.401e-35
DDX52	3776.5	-2.9	9.025e-38	1.795e-35
HSD17B13	86.1	-7.1	1.653e-37	2.006e-35
CNOT10	1311.2	2.7	3.663e-37	4.220e-35
SP2	1226.4	-1.4	5.202e-37	4.484e-35
METTL14	531.7	2.2	3.666e-37	4.709e-35
SCARB1	992.2	-4.1	5.460e-37	5.397e-35
OPTN	14737.2	-3.2	5.062e-37	5.670e-35
CKAP2L	1081.2	4.2	4.911e-37	5.700e-35
POLL	1880.4	-2.2	4.924e-37	5.700e-35
HRSP12	525.8	-2.7	4.901e-37	6.081e-35
STX5	447.7	-2.6	5.039e-37	6.210e-35
RP5-1198O20.4	161.6	-3.6	7.784e-37	8.797e-35
TMEM209	754.4	3.2	7.163e-37	8.797e-35
WDR34	1809.3	4.3	8.675e-37	9.266e-35
SPATA5	422.7	2.6	8.496e-37	1.020e-34
HLTF	1302.9	3.1	9.886e-37	1.092e-34
IKZF5	1166.7	-2.6	1.074e-36	1.125e-34
PRCC	850.8	-1.8	1.122e-36	1.167e-34
HMGB2	14990.8	2.9	1.141e-36	1.179e-34
UBQLN1	4767.8	-2.8	1.487e-36	1.600e-34
TNFRSF10B	910.4	-3.3	1.471e-36	1.715e-34
WBP2	9732	-2.6	1.139e-36	1.967e-34
INPP5K	4014.4	-2.6	2.369e-36	2.502e-34
MDC1	544.2	3.5	2.489e-36	2.613e-34
TGIF1	2285.1	-4.4	3.306e-36	3.242e-34
SEC14L1	12265.6	-2.9	3.863e-36	3.822e-34
SEPT11	827	2.8	4.142e-36	4.012e-34
WDR74	709.9	-3.7	3.946e-36	4.362e-34
IFIT2	2009.3	-5.8	4.531e-36	4.402e-34
BACH1	4111.6	-3.2	4.619e-36	4.674e-34
ZMYM2	1078.6	-2.4	4.746e-36	4.774e-34
DNASE2	758.4	-3.3	5.310e-36	4.991e-34
TIA1	810.2	2.7	5.057e-36	5.426e-34
FAF1	294.7	4.4	4.584e-36	5.587e-34
USP33	4285.3	-2.2	6.176e-36	5.704e-34
MKI67	6957.4	4.6	4.678e-36	5.729e-34
PCMTD1	2713.6	-3.7	7.312e-36	7.102e-34
SRA1	1933.2	-2.4	8.237e-36	7.955e-34
C1orf52	900.7	-2.2	1.059e-35	9.555e-34
SGTB	218.9	-4.1	1.150e-35	1.138e-33
WHSC1	1464.2	4.3	1.733e-35	1.376e-33
INTS3	721.2	2.5	1.573e-35	1.602e-33
CUTA	1261.5	-2.3	1.987e-35	1.754e-33
PDZD11	383.1	2.3	2.151e-35	2.008e-33
ESCO2	1088.4	4.3	2.983e-35	2.604e-33
GID8	1225.9	-2	3.050e-35	2.688e-33
CDK2	687.7	3.6	2.893e-35	2.896e-33
DEDD2	5693.4	-3	3.472e-35	2.981e-33
RAD51C	819.2	2.3	4.410e-35	4.324e-33
KATNBL1	424.5	2.7	3.905e-35	4.353e-33
RNGTT	497.8	4	4.920e-35	4.414e-33
UBAP1	13992	-4.2	5.438e-35	4.640e-33
TMEM60	316.3	2.2	4.864e-35	4.669e-33
RIOK3	40720.1	-3.6	5.487e-35	6.087e-33
C4orf36	78.3	-4.4	8.184e-35	6.134e-33
ENO2	525.8	3.9	8.726e-35	7.183e-33
TSPAN31	505.5	-2	9.361e-35	8.155e-33
