gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-9.2	8.059e-290	2.478e-285
SLC25A37	195757.6	-7.6	1.857e-193	2.855e-189
OPTN	14737.2	-7.6	5.816e-169	6.033e-165
SP2	1226.4	-3.3	1.321e-164	7.926e-161
WBP2	9732	-5.7	3.656e-149	2.248e-145
SLC25A39	98563.2	-5.7	1.760e-147	7.160e-144
HDAC5	2641.7	-7.9	4.812e-147	1.678e-143
TXNIP	17597.1	-4.9	8.079e-147	3.107e-143
RAD23A	10450.8	-4.2	2.360e-145	8.066e-142
CALCOCO1	15382.8	-7.4	9.475e-144	2.912e-140
TRAK2	13529.9	-5.6	7.036e-143	1.967e-139
RAPGEF2	7579.3	-5.9	1.238e-141	3.172e-138
MBNL2	6149.7	-5.4	4.817e-140	1.140e-136
SEC14L1	12265.6	-6.4	8.911e-139	1.957e-135
RIOK3	40720.1	-7.9	5.119e-137	1.050e-133
TMCC2	105740.7	-13.6	1.800e-135	3.501e-132
DMTN	16505.4	-5	9.043e-133	1.637e-129
LPIN2	26918.4	-7.7	1.451e-132	1.967e-129
MICAL2	11231.7	-6	6.983e-131	8.968e-128
MARCH8	25353.1	-7.5	5.900e-131	9.072e-128
YPEL5	5619.9	-6.1	6.768e-131	9.914e-128
MCOLN1	2240.8	-5.7	2.017e-130	2.820e-127
TMUB2	3465.7	-5.1	7.604e-130	1.017e-126
RFX3	707.6	-4.1	1.558e-129	1.545e-126
RFFL	2661.1	-4.5	4.171e-128	5.131e-125
TCP11L2	15354.7	-12.4	3.467e-126	4.100e-123
ATG13	5092.7	-3.8	3.974e-123	4.523e-120
KHNYN	3207.6	-5.1	6.188e-122	6.796e-119
C17orf103	17641.6	-8.7	2.729e-120	2.297e-117
RNF19A	6648.3	-5.4	5.658e-119	5.800e-116
INPP5K	4014.4	-5.1	2.187e-118	2.196e-115
FAM214B	5742.8	-7	3.167e-115	3.080e-112
RB1CC1	11739.5	-5.4	6.476e-115	6.107e-112
HIST1H2AC	2792.2	-7.8	8.687e-115	7.852e-112
PNP	8731.6	-4.7	6.478e-114	4.517e-111
SLC2A1	41223.5	-6.2	8.410e-114	7.187e-111
BTG2	8282.4	-5.6	9.845e-114	8.186e-111
WASF2	10683.5	-3.9	1.952e-113	1.579e-110
WDR45	2406.9	-5.6	9.584e-112	7.560e-109
GABARAPL1	10151.5	-9.2	3.427e-108	2.666e-105
SLC4A1	63651.4	-9.7	2.268e-104	1.350e-101
NDEL1	3989.3	-4	4.678e-104	3.426e-101
TSPO2	1800.8	-7.9	2.940e-103	1.209e-100
DENND4A	5636.4	-4.5	2.531e-103	1.769e-100
ENTPD5	1590.8	-3.9	5.704e-103	2.242e-100
NAPB	1175.5	-4.8	6.748e-103	2.525e-100
ISCU	18605.1	-5.7	1.143e-102	7.476e-100
TUFT1	5528.3	-9	1.730e-101	1.121e-98
DDIT3	3088	-6.9	2.613e-101	1.641e-98
TPP1	13578	-4	8.146e-101	5.012e-98
YPEL4	4670.4	-7.5	1.130e-100	6.897e-98
KIAA0513	2358	-6.4	2.016e-100	9.463e-98
C7orf73	6939.9	-3.5	2.159e-100	1.230e-97
CHMP2A	3562.5	-3.5	2.119e-100	1.230e-97
RP11-85G21.3	3063.1	-8.2	1.535e-99	8.580e-97
OSER1-AS1	322.5	-6.9	4.449e-99	2.512e-96
HBA2	781957.4	-8.5	6.989e-99	3.771e-96
PPP1R15A	21268.6	-5.7	2.106e-98	1.130e-95
DCTN4	4026.2	-3.4	9.633e-98	5.023e-95
DYRK1B	560.7	-5.3	4.252e-97	1.954e-94
HPS1	25197	-5.2	8.063e-97	3.225e-94
MTMR3	5914	-5.3	8.400e-97	4.167e-94
CYLD	1199.3	-4.5	2.059e-96	5.780e-94
C18orf8	3534.3	-5.3	3.411e-96	1.639e-93
ZNF24	2411	-3	1.276e-95	6.040e-93
BNIP3L	45320	-6.6	3.327e-95	1.550e-92
TAX1BP1	8207.6	-4.6	4.965e-95	2.306e-92
KLHDC8A	1648.1	-7.2	1.547e-94	3.917e-92
NONO	4125.9	3.1	2.638e-94	1.175e-91
FCHO2	1868.2	-4.9	1.158e-93	2.435e-91
DCAF8	6505.5	-4.7	7.600e-94	2.612e-91
RUNDC3A	3593.7	-11.1	1.353e-93	4.585e-91
ABHD4	6353.7	-6.5	1.603e-93	6.751e-91
SP100	2723.9	-2.9	3.573e-93	1.485e-90
GUK1	12315.9	-4.5	6.557e-93	2.721e-90
EAF1	1019.7	-3.3	8.718e-93	2.752e-90
RMND5A	3672.4	-3.1	1.645e-92	5.212e-90
ARG1	5418.7	-10.5	3.050e-92	1.203e-89
ARG2	1045.5	-6.2	4.316e-92	1.311e-89
FBXO9	2111.6	-3.5	3.877e-92	1.491e-89
ABTB1	1717.3	-6	1.077e-91	2.352e-89
BCL2L1	36101.3	-6.3	1.368e-91	5.131e-89
EPB41	20751.3	-5.7	6.924e-91	2.565e-88
TMEM140	5277	-8.1	2.229e-90	8.159e-88
SMIM5	2302.1	-5.6	4.095e-90	1.482e-87
HIST1H1C	8884.9	-7.7	8.662e-90	3.097e-87
REEP4	7049.4	-4.9	1.378e-89	4.874e-87
CNPPD1	17880.9	-6.6	3.315e-89	1.158e-86
TAOK3	4882.4	-3.9	8.357e-89	2.888e-86
SLC22A23	1694.7	-4.4	1.805e-88	3.818e-86
SMOX	3874.6	-6.4	2.888e-88	9.760e-86
SECISBP2	1489.7	-3.2	6.474e-88	1.340e-85
CR1L	2068.2	-6.6	9.653e-88	3.193e-85
POLL	1880.4	-3.6	1.538e-87	3.926e-85
TNRC6B	5374.6	-3.6	2.461e-87	7.969e-85
BSDC1	9863	-3.9	4.040e-87	1.295e-84
YOD1	7112.6	-5.8	5.601e-87	1.797e-84
HDAC6	2355.3	-2.4	1.964e-86	4.890e-84
BIRC2	3653.6	-5.2	1.954e-86	6.141e-84
TCEANC	2799.7	-7.5	2.173e-86	6.619e-84
BSG	79544.1	-5.6	2.157e-86	6.619e-84
MOSPD1	4786.9	-6	7.523e-86	2.268e-83
DEDD2	5693.4	-5.2	2.258e-85	6.741e-83
MAST3	6505.5	-6.7	5.043e-85	1.183e-82
CRIPT	1397.9	-4.4	1.531e-84	2.578e-82
VPS28	3826.8	-4.1	9.326e-85	2.707e-82
NSUN3	3585.9	-6.7	1.238e-84	3.559e-82
LEPROT	2572.5	-2.6	1.287e-84	3.662e-82
IFRD1	1260.7	-3.1	1.834e-84	4.038e-82
VEZF1	1844.2	-3.4	5.704e-84	7.634e-82
SDE2	7126	-5.5	4.534e-84	9.967e-82
STAG2	4432.8	-3.2	3.755e-84	1.043e-81
EZH1	2585.6	-4.3	5.243e-84	1.427e-81
SLC7A5	15329.1	-5.3	7.636e-84	2.085e-81
RP11-690G19.3	714.3	-3.9	4.038e-83	8.357e-81
BCL6	1687.5	-11.8	8.227e-83	1.221e-80
MEF2A	594.4	-3.3	7.786e-83	1.584e-80
ADIPOR1	32325.5	-6.1	7.501e-82	1.954e-79
TBC1D17	846.3	-4.5	1.007e-81	2.332e-79
CEP76	820.2	-3.3	1.069e-81	2.366e-79
DCUN1D1	9708.7	-3.3	2.326e-81	4.691e-79
BPGM	17869	-7.4	2.539e-81	6.478e-79
FOXO3	10380.9	-6.2	2.055e-80	5.199e-78
KLHL24	2379.8	-6.1	3.399e-80	8.424e-78
C9orf78	9726	-4.4	2.772e-79	6.821e-77
FBXL20	1424.9	-4.7	6.827e-79	7.976e-77
STK17B	6911.7	-6	4.081e-79	1.000e-76
YIPF4	2456.1	-3.2	6.217e-79	1.512e-76
IBA57	1129.2	-4.2	1.343e-78	1.532e-76
FAM131A	969.9	-4.7	3.770e-78	5.521e-76
CLIC2	9423.7	-5.7	2.364e-78	5.614e-76
MIR22HG	4577.4	-8.9	2.381e-78	5.614e-76
FAM46C	42890.7	-6.9	2.528e-78	5.843e-76
PIK3IP1	3784	-9.5	7.662e-78	1.395e-75
PCMTD1	2713.6	-6.1	6.167e-78	1.405e-75
COL4A3BP	581.5	-2.4	6.474e-77	1.142e-74
GDF15	24091.5	-5.8	5.234e-77	1.189e-74
