gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-8	1.062e-215	3.329e-211
PKM	1976.4	9.4	4.412e-176	6.915e-172
SLC25A37	195757.6	-7.2	5.313e-175	3.697e-171
TRAK2	13529.9	-6.1	1.191e-160	5.096e-157
HBA2	781957.4	-9.5	7.546e-123	4.731e-119
SLC25A39	98563.2	-4.9	1.170e-110	3.338e-107
SLC4A1	63651.4	-10	1.026e-108	2.509e-105
DMTN	16505.4	-4.5	1.125e-107	2.711e-104
PIGQ	7370.2	-4.6	1.071e-107	2.711e-104
SNX22	895.2	-5.6	4.481e-103	7.803e-100
ANK1	27203.9	-5.2	1.241e-102	3.536e-99
ARHGDIB	2010.6	6.9	6.478e-101	1.125e-97
RAD23A	10450.8	-3.5	2.856e-97	4.765e-94
EPOR	5014.2	-4	1.579e-95	3.535e-92
RAP1GAP	10780.6	-8.4	4.031e-95	5.830e-92
SLC2A1	41223.5	-5.7	1.033e-94	1.348e-91
SLC22A23	1694.7	-4.8	5.051e-94	5.626e-91
MICAL2	11231.7	-5.1	3.077e-93	2.926e-90
CLU	818.5	9.1	2.330e-92	2.040e-89
TSPO2	1800.8	-10.2	6.551e-91	6.203e-88
GDF15	24091.5	-6.4	7.626e-91	6.216e-88
HAGH	5024.2	-3.9	6.083e-90	8.668e-87
CAPN5	797.6	-6.9	3.924e-89	3.513e-86
RP11-85G21.3	3063.1	-8.8	9.207e-89	7.993e-86
SLC22A4	2867.3	-5.4	1.332e-88	1.670e-85
SOX6	2724.6	-8.6	1.809e-88	2.181e-85
DOCK2	373.8	7.5	3.858e-88	2.489e-85
GAB1	1977.4	-3.4	4.294e-88	4.807e-85
QSOX1	468.5	7.3	3.900e-87	2.303e-84
PPOX	3294	-3.6	9.727e-87	1.016e-83
TNXB	2411.1	-7.5	9.296e-85	6.259e-82
CR1L	2068.2	-6.3	1.396e-84	9.108e-82
HMBS	49478.2	-5.9	1.859e-83	1.176e-80
NFIA	4157	-4.1	2.667e-82	1.634e-79
RAB3IL1	1325.7	-7.1	2.146e-81	1.050e-78
ITSN1	1173.7	-5.2	1.632e-80	8.585e-78
KLHDC8A	1648.1	-7.6	2.090e-79	1.069e-76
FAM65C	14857.4	-5.5	1.318e-77	7.228e-75
CD63	2649.3	7.5	1.138e-76	6.331e-74
YPEL4	4670.4	-6.8	1.213e-76	6.332e-74
GYPC	25713.8	-4.6	3.201e-76	1.337e-73
TMEM56	3040.4	-6.9	3.664e-76	1.892e-73
DCUN1D1	9708.7	-3.2	6.311e-76	3.183e-73
SORBS1	1374.2	-4.6	1.264e-75	4.963e-73
HCLS1	859.8	4.4	1.846e-75	7.084e-73
FXYD5	736.3	6.4	4.424e-75	1.980e-72
KDM4C	2920.6	-2.7	6.915e-75	3.065e-72
DBI	750.1	5.8	6.588e-74	2.370e-71
FAM132B	1985.3	-7.2	2.068e-72	9.155e-70
MSN	3712.2	5.4	4.574e-72	1.984e-69
ISG20	3261.8	-6.6	7.882e-72	3.226e-69
S100A11	848.5	8.5	1.307e-71	4.302e-69
SMIM5	2302.1	-5	1.979e-71	7.793e-69
AGPAT2	143.6	8.4	2.538e-71	1.350e-68
DNAJA4	3820.7	-4.6	3.564e-71	1.350e-68
SLC25A42	608.3	-4.1	1.986e-70	6.177e-68
RFESD	1676.4	-5	5.364e-70	1.625e-67
TWF2	100.2	5	4.350e-70	2.164e-67
WIPI1	1018.4	-3.2	1.182e-68	3.794e-66
KEL	3675.5	-5.1	1.351e-68	4.699e-66
SPTA1	21834.6	-6.4	2.353e-68	6.604e-66
OSBP2	10144.9	-6.8	2.645e-68	8.905e-66
CLIC2	9423.7	-5.5	2.362e-68	1.175e-65
IL15RA	570.3	-3.9	1.098e-67	2.853e-65
ARHGAP4	456.8	6.8	1.162e-67	3.681e-65
ARPC1B	814.6	4.9	3.319e-67	8.367e-65
SLC6A8	1068.7	-5.8	3.611e-67	9.309e-65
MFSD10	613.7	5.9	5.268e-67	1.595e-64
ACHE	3182	-7.8	3.913e-66	1.182e-63
CD53	469.7	6.3	6.445e-66	1.576e-63
MFSD2B	2577.2	-4.1	1.669e-65	7.368e-63
RABGAP1L	3589.4	-2.9	1.148e-64	2.729e-62
HLA-E	875.6	4.3	3.241e-64	7.387e-62
GM2A	447.6	6.9	7.677e-64	1.757e-61
PTPLAD2	231.9	4.2	6.086e-64	1.757e-61
SLC6A9	4749.9	-7.7	7.340e-64	2.016e-61
MBNL2	6149.7	-3.7	1.354e-63	3.011e-61
IRF9	258.8	-3.9	1.780e-63	4.941e-61
NDST1	256.8	7.3	6.629e-63	1.564e-60
OPTN	14737.2	-4.6	6.598e-63	1.789e-60
HBM	25525	-10.4	1.498e-62	3.859e-60
CORO1A	693.7	7.4	2.331e-62	5.852e-60
MGST1	385.3	7.7	1.015e-61	1.833e-59
ALAS2	134100.6	-8.7	5.174e-62	1.931e-59
PHOSPHO1	5135.4	-8.3	9.627e-62	2.457e-59
MARCH8	25353.1	-5.1	7.939e-62	2.894e-59
SLC2A4	3229.9	-7.7	2.201e-61	5.487e-59
FCHO2	1868.2	-4.1	2.968e-61	5.874e-59
VAT1	1643.6	6.6	4.328e-61	8.885e-59
ART4	1560.2	-10.2	5.000e-61	9.674e-59
TMEM63B	1745.1	-4.1	9.194e-61	1.846e-58
EPB42	33840.9	-8	1.158e-60	2.623e-58
CTSL	4095.8	-4.7	1.604e-60	3.741e-58
BTG2	8282.4	-4	3.690e-60	6.720e-58
CNN2	459.8	5.1	1.908e-59	4.135e-57
RNF130	1140.8	7.4	3.934e-59	7.760e-57
RHCE	7813.1	-7.3	5.998e-59	1.291e-56
AHSP	59630.8	-7.6	8.547e-59	1.821e-56
MANBA	292	4.3	1.671e-58	2.889e-56
CD37	276.8	5.2	2.341e-58	5.048e-56
TSPAN5	1802.7	-6.3	1.043e-57	1.956e-55
KCNAB2	907.5	3.7	4.850e-57	7.912e-55
HLA-DRB1	144.5	8	1.226e-56	2.218e-54
MOSPD1	4786.9	-4.9	8.448e-57	2.547e-54
FAM13A	1344.5	-4.1	1.501e-56	2.708e-54
TBC1D22B	3136.1	-4.2	3.437e-56	1.017e-53
PRR5	1004.6	-4	8.559e-56	1.382e-53
ARG1	5418.7	-8.2	8.486e-56	1.637e-53
SELENBP1	15553.5	-9.3	1.207e-55	1.896e-53
RSAD2	10196.2	-6.9	1.681e-55	3.190e-53
BST2	428.4	4.7	2.430e-55	3.261e-53
AP2A1	2636.9	-3.4	2.133e-55	3.261e-53
IL9R	309	7.5	2.312e-55	4.212e-53
ANXA2	697.7	6.8	3.119e-55	4.726e-53
ACTG1	6880	5.2	5.010e-55	9.077e-53
ICAM3	275.2	6.1	4.882e-55	9.396e-53
MGST3	5574.7	-4.8	6.959e-55	1.290e-52
ENPP3	348.3	7.6	9.406e-55	1.388e-52
C17orf103	17641.6	-5.9	1.417e-54	2.485e-52
PNP	8731.6	-3.2	3.797e-54	5.417e-52
YIPF6	2016.1	-2.9	3.611e-54	6.473e-52
SPATA9	162.6	-4.9	4.153e-54	7.411e-52
SP2	1226.4	-1.9	1.297e-53	1.821e-51
TOP1	7987.8	-3.2	1.358e-53	2.375e-51
ABR	139	6.1	1.348e-53	3.124e-51
ARHGEF37	561.1	-5.3	2.561e-53	3.482e-51
SRPK2	312.3	3.9	2.947e-53	3.482e-51
GCNT2	2813.2	-4.1	2.405e-53	3.922e-51
LIMD2	192.3	6.3	4.933e-53	8.279e-51
SMYD3	113.8	5.9	4.982e-53	1.112e-50
TANGO2	2825.1	-3.8	8.747e-53	1.394e-50
TXNIP	17597.1	-2.9	1.140e-52	1.799e-50
C7orf73	6939.9	-2.5	1.171e-52	1.834e-50
SNCA	19193.5	-5.9	1.455e-52	1.859e-50
SERPINB1	872.4	3.5	1.289e-52	1.966e-50
CASC7	3892	-3	2.400e-52	3.684e-50
MORC3	4798.2	-3.3	2.555e-52	3.893e-50
TMCC2	105740.7	-8.4	2.609e-52	3.947e-50
MSRB3	143.1	7.4	2.963e-52	3.973e-50
IQGAP1	606.6	5.1	3.606e-52	4.449e-50
NSMAF	310.2	4.5	3.613e-52	5.275e-50
GNA15	461	7.6	3.640e-52	5.278e-50
ARHGEF6	959.1	6.1	4.568e-52	5.837e-50
GPI	2226.4	7.9	6.297e-52	1.371e-49
IFITM2	1359.4	8.2	1.804e-51	2.356e-49
SPTB	17075.2	-6	4.103e-51	5.867e-49
ACTN1	754.1	8.2	7.506e-51	8.892e-49
DARC	1005.1	-6.6	1.285e-50	1.486e-48
UBAC1	9133.3	-4.2	1.250e-50	1.747e-48
DOK2	136.1	6.4	1.040e-50	2.003e-48
CHAC2	562.6	-3.3	3.834e-50	4.385e-48
HBB	4178049.6	-7.7	3.253e-50	4.635e-48
STAT5A	962.2	6	3.881e-50	4.635e-48
LEPROT	2572.5	-2	1.030e-49	1.397e-47
TTYH3	177.6	6.2	1.294e-49	1.817e-47
RBM38	9159.5	-4.9	1.597e-49	2.133e-47
UCP2	28065.8	-4.6	1.757e-49	2.332e-47
SYTL1	96.4	5.1	1.706e-49	3.132e-47
FHDC1	6915.9	-6.7	1.855e-49	3.657e-47
ATP1B2	1179.8	-8	4.068e-49	4.646e-47
RAB3D	201.8	7.9	5.372e-49	6.218e-47
CTSS	108.3	8.4	3.850e-49	6.856e-47
PTPN6	878.1	8.2	1.179e-48	1.250e-46
ARRDC1	349.3	3.8	1.551e-48	1.619e-46
RAPGEF2	7579.3	-3.4	1.233e-48	1.621e-46
ALAS1	1346.2	4.3	2.434e-48	2.532e-46
DDI2	3264.2	-3.7	2.638e-48	3.291e-46
P2RY8	278.9	7.6	2.916e-48	3.757e-46
EPB41	20751.3	-4.1	3.093e-48	3.970e-46
LBH	6609.7	-3.9	3.460e-48	6.381e-46
PRSS57	1058.3	10.6	7.154e-48	7.162e-46
FES	399.9	4.2	1.076e-47	9.379e-46
RB1CC1	11739.5	-3.5	9.553e-48	9.453e-46
NOTCH2	577.5	4.5	1.134e-47	1.116e-45
POMT1	99.5	5.8	6.916e-48	1.141e-45
LY6E	228.3	7.6	9.679e-48	1.191e-45
GMFG	452.3	5.6	1.739e-47	2.023e-45
PPIP5K2	4135.1	-2.6	1.862e-47	2.269e-45
RUNDC3A	3593.7	-7.9	2.520e-47	2.410e-45
RNF19A	6648.3	-3.4	2.383e-47	2.871e-45
DUSP23	220.5	4.6	3.052e-47	3.651e-45
RP11-20D14.6	5111.4	-8.5	4.823e-47	5.521e-45
BPGM	17869	-5.6	6.816e-47	6.376e-45
ARL4A	20871	-5.1	8.237e-47	7.663e-45
MAP4K2	190.7	4	7.683e-47	9.040e-45
ARG2	1045.5	-4.5	9.387e-47	9.558e-45
CYSTM1	3137.2	-4.8	8.843e-47	9.852e-45
SLC6A19	5849.1	-7.5	1.895e-46	1.725e-44
CCS	5907.9	-3.4	1.522e-46	1.747e-44
RANBP10	7024.5	-4.7	2.464e-46	2.707e-44
FECH	35356.1	-5.3	5.162e-46	4.627e-44
RHOH	163.5	8	4.166e-46	4.680e-44
FZD5	777.3	-4.6	5.507e-46	4.748e-44
BCL2L1	36101.3	-4.4	4.854e-46	5.213e-44
FAM45A	278.6	3.7	4.817e-46	5.348e-44
PGM2L1	957	-4.8	7.201e-46	6.345e-44
ACSL6	1772.4	-10.5	8.383e-46	7.411e-44
E2F4	3887.2	-3	1.141e-45	9.866e-44
SMOX	3874.6	-4.4	1.712e-45	1.866e-43
CLCN3	7183	-4.5	1.657e-45	2.598e-43
CD97	313.2	3.8	3.043e-45	2.615e-43
DENND4A	5636.4	-3	1.956e-45	3.035e-43
RAB6B	1286.1	-4.9	4.571e-45	3.922e-43
JAZF1	3309.2	-5.5	2.583e-45	3.970e-43
KLF3	5841.2	-4.4	3.357e-45	5.134e-43
CD38	328.2	7.9	9.034e-45	7.575e-43
PLSCR4	620.1	-4.5	1.075e-44	9.043e-43
GALNT5	3243.9	-5.4	1.007e-44	1.011e-42
MARCH3	3782.7	-4.3	1.213e-44	1.259e-42
CTSW	161.7	8.4	1.696e-44	1.505e-42
COTL1	440.3	7.6	2.012e-44	1.661e-42
CALCOCO1	15382.8	-4	1.155e-44	1.707e-42
EZH1	2585.6	-3.1	2.867e-44	2.304e-42
BSDC1	9863	-2.7	2.309e-44	2.341e-42
TMC5	1274.6	-7.9	3.477e-44	2.768e-42
AK1	1137.4	-3.9	3.801e-44	3.215e-42
RNF123	6037.2	-4.2	4.543e-44	4.541e-42
ZNF124	90.3	4.7	5.468e-44	4.675e-42
RP11-506K6.4	371.7	-6.2	6.486e-44	5.070e-42
MYB	388.2	7	1.358e-43	9.259e-42
ST3GAL4	387.4	4.3	1.759e-43	1.386e-41
SLFN14	2392.8	-6	2.292e-43	1.768e-41
EGFL7	698.8	5.5	2.394e-43	1.786e-41
RILPL2	255.6	4.6	2.081e-43	2.023e-41
C16orf54	131.1	7.3	1.640e-43	2.102e-41
ARHGAP9	281.6	7.4	2.294e-43	2.210e-41
PLAUR	199.3	6.4	2.396e-43	2.357e-41
MYL4	2920	-5.7	1.990e-43	2.737e-41
SEPT6	291.6	6.7	3.826e-43	2.886e-41
PARVG	282.4	7	4.872e-43	3.948e-41
RRBP1	217	5.8	8.382e-43	7.856e-41
RAB37	288.6	6.9	1.096e-42	8.227e-41
BHLHE40	220.9	7.7	2.064e-42	1.910e-40
ARRB1	130.1	6.1	1.602e-42	1.975e-40
HMGN3	276.9	5	2.848e-42	2.623e-40
CREB3L1	484	-6.2	4.755e-42	3.480e-40
ITGB2	679.1	6.7	4.098e-42	3.560e-40
TMEM123	510.1	4	4.656e-42	4.028e-40
RP11-620J15.3	423.6	2.7	5.823e-42	4.208e-40
ABHD14A	85	5.3	5.197e-42	6.282e-40
SLC27A5	116.7	4.3	6.020e-42	7.207e-40
KCNK5	364.4	4.6	1.190e-41	8.419e-40
RIN3	198.7	6.7	1.109e-41	9.931e-40
MYADM	288.6	6.8	1.774e-41	1.256e-39
GUK1	12315.9	-3	1.604e-41	1.364e-39
C1GALT1	1744.8	-3	1.956e-41	1.452e-39
YOD1	7112.6	-4	2.581e-41	2.182e-39
BEST3	480.5	-7.1	3.467e-41	2.434e-39
TRIM10	5395.7	-9.3	6.141e-41	5.148e-39
FOXO3	10380.9	-4.4	9.139e-41	6.258e-39
FLNB	226.4	7	9.212e-41	6.840e-39
FAM83D	2210.6	-3.1	1.010e-40	8.369e-39
METTL4	614.4	-2.3	1.267e-40	8.650e-39
OSTC	1204.2	2.5	1.201e-40	8.954e-39
FAM216A	145.8	4.6	9.197e-41	1.041e-38
SWT1	692.4	-3.8	2.359e-40	1.604e-38
HP1BP3	2905.6	-1.4	3.559e-40	2.371e-38
G6PC3	214.2	6.3	3.207e-40	2.691e-38
SULT1A1	144.2	6.5	2.457e-40	2.737e-38
ALPK1	82.4	5.3	2.674e-40	2.983e-38
TMEM173	562.7	7.5	7.492e-40	4.776e-38
RP11-379K17.4	391.6	-7.4	8.840e-40	5.060e-38
ANKRD44	75.3	6.8	5.213e-40	5.750e-38
