gene	baseMean	log2FoldChange	pvalue	padj
PKM	1976.4	6.1	1.055e-84	1.492e-80
DOCK2	373.8	6.5	1.460e-69	1.151e-65
DNAJA4	3820.7	-4.5	1.080e-59	5.417e-56
AGPAT2	143.6	3.7	1.738e-55	7.828e-52
PARVG	282.4	8.2	1.105e-48	3.484e-45
HLA-DRB1	144.5	6	1.200e-48	3.604e-45
SERPINB1	872.4	3.6	9.223e-48	1.912e-44
CTSS	108.3	5.5	1.418e-45	3.097e-42
HLA-E	875.6	3.8	2.967e-45	4.978e-42
NFIA	4157	-3.2	8.379e-45	1.406e-41
FES	399.9	4.2	2.345e-44	3.361e-41
SLC25A37	195757.6	-3.8	1.622e-43	2.268e-40
TMEM56	3040.4	-5.5	4.040e-43	5.356e-40
TESPA1	1256.9	4.5	5.881e-43	5.582e-40
MBOAT7	542	4.7	8.129e-43	8.181e-40
AHNAK	665.9	8.2	2.401e-42	2.226e-39
SLC4A1	63651.4	-6.4	4.511e-40	4.573e-37
CLU	818.5	5.6	6.434e-40	5.186e-37
TMSB4X	2576.2	4.5	3.826e-39	2.848e-36
CORO1A	693.7	6	9.323e-39	7.038e-36
NTRK1	265.8	6.3	6.620e-37	6.937e-34
ST3GAL4	387.4	4.1	1.349e-36	9.672e-34
TAGAP	91.9	5.8	1.930e-36	1.466e-33
ZBTB16	103.3	7.3	3.392e-36	2.140e-33
GDF15	24091.5	-4.2	3.173e-36	2.140e-33
RAB3D	201.8	6.4	4.459e-36	2.704e-33
GAB1	1977.4	-2.3	9.264e-36	4.851e-33
TSPAN17	985.7	-3	9.240e-36	4.851e-33
HSH2D	412.7	7	1.167e-35	6.317e-33
KCNAB2	907.5	3.1	1.351e-35	7.103e-33
LPXN	334.3	3.6	4.185e-35	2.188e-32
ENPP3	348.3	5.9	2.229e-34	1.129e-31
CD53	469.7	4.6	3.681e-34	1.808e-31
NDST1	256.8	5	5.171e-34	2.462e-31
RFESD	1676.4	-3.6	1.463e-33	4.702e-31
ANK1	27203.9	-3.1	1.318e-33	5.154e-31
HBA2	781957.4	-5.2	2.174e-33	1.013e-30
RABAC1	735.2	2.7	5.143e-33	1.989e-30
ARHGAP30	301.8	6.2	6.709e-33	2.820e-30
RAB3IL1	1325.7	-4.7	2.526e-32	6.000e-30
GMFG	452.3	4.8	2.162e-32	8.546e-30
ITGAL	327.6	10.6	3.526e-32	1.376e-29
SNX22	895.2	-3.3	6.326e-32	2.221e-29
PYCARD	106.3	7	7.627e-32	3.217e-29
LAT2	262.6	5.8	1.310e-31	5.865e-29
CAPG	698.9	8	1.807e-31	5.930e-29
HDC	4223.4	9.3	3.190e-31	1.139e-28
ELANE	473.6	9.6	4.288e-31	1.448e-28
ANPEP	260.3	7.6	6.194e-31	2.209e-28
ACHE	3182	-5.6	9.588e-31	2.700e-28
UBAC1	9133.3	-3.5	8.328e-31	2.814e-28
P2RY8	278.9	5.9	8.706e-31	3.374e-28
HMBS	49478.2	-3.7	2.054e-30	5.746e-28
ARHGDIB	2010.6	3.9	2.194e-30	5.746e-28
KEL	3675.5	-3.5	3.435e-30	1.048e-27
COTL1	440.3	6.3	5.724e-30	1.628e-27
QSOX1	468.5	4	1.060e-29	2.933e-27
CD33	88.1	6.7	1.224e-29	3.916e-27
IL15RA	570.3	-2.7	1.870e-29	4.784e-27
CAPN5	797.6	-4.1	2.599e-29	6.350e-27
MPO	3598.5	9.4	2.751e-29	6.350e-27
SOX4	72.4	6	6.202e-29	1.577e-26
LIMD2	192.3	4.4	6.220e-29	1.989e-26
RASSF2	256.3	10.2	8.368e-29	2.062e-26
RAB31	55.3	6.4	2.203e-28	4.395e-26
ITGB2	679.1	5.8	2.946e-28	7.038e-26
MFSD10	613.7	3.9	3.646e-28	8.216e-26
C16orf54	131.1	5.3	3.056e-28	8.341e-26
ITGAM	169.3	8.1	4.126e-28	9.678e-26
FAM132B	1985.3	-4.6	5.433e-28	1.098e-25
CD38	328.2	6.1	5.176e-28	1.145e-25
ARHGAP9	281.6	5.9	6.661e-28	2.036e-25
AMMECR1	3925.5	-3.3	1.809e-27	3.506e-25
SOX6	2724.6	-5	2.326e-27	4.446e-25
SLC25A39	98563.2	-2.5	4.689e-27	9.405e-25
ALOX5	262.5	6.7	5.338e-27	1.546e-24
ANXA6	89.6	6.1	8.480e-27	1.737e-24
PRSS57	1058.3	7.6	1.569e-26	1.911e-24
GAB2	251.3	4.6	7.635e-27	2.127e-24
ACTG1	6880	3.8	1.162e-26	2.504e-24
RHBDD2	1141.1	2.9	2.789e-26	3.872e-24
ADRBK1	481.6	2.8	2.473e-26	4.887e-24
ALAS1	1346.2	3.4	3.127e-26	5.006e-24
CFH	74.9	6.5	3.134e-26	5.884e-24
SPARC	45.3	6.5	4.242e-26	6.472e-24
TRAK2	13529.9	-2.5	5.334e-26	8.773e-24
GSN	782	3.6	7.396e-26	1.284e-23
EPOR	5014.2	-2.2	1.114e-25	2.124e-23
PLAUR	199.3	4.9	1.502e-25	2.662e-23
TSPO2	1800.8	-5.4	1.840e-25	3.006e-23
ALCAM	60.4	5.8	2.393e-25	4.147e-23
GP9	37.5	5.2	2.874e-25	5.056e-23
CAST	3075.2	-3.1	3.064e-25	5.679e-23
SELL	135.7	7.7	3.412e-25	6.539e-23
LEPR	1387.8	-4.6	7.478e-25	8.852e-23
PRTN3	352.8	9.9	8.799e-25	1.502e-22
MAX	2536.3	2.9	1.000e-24	1.551e-22
PIGQ	7370.2	-2.3	1.505e-24	2.311e-22
TBC1D10C	109.2	4.8	1.832e-24	3.334e-22
LOXL3	44.4	3.6	2.577e-24	3.341e-22
CTSW	161.7	4.8	2.074e-24	3.588e-22
HYAL3	467.8	3.7	2.845e-24	4.399e-22
CD244	84.4	5.6	2.958e-24	4.529e-22
RASGRP3	488.1	5.2	3.910e-24	5.903e-22
EDARADD	45.5	7.7	6.594e-24	8.143e-22
MSRB3	143.1	4.2	7.468e-24	1.111e-21
CAMLG	743	2.1	8.342e-24	1.146e-21
MYO1F	325.9	7.8	8.464e-24	1.270e-21
VIM	472.3	8.1	9.158e-24	1.319e-21
AHSP	59630.8	-5.1	1.004e-23	1.373e-21
EPB42	33840.9	-5.2	1.136e-23	1.441e-21
TMEM14B	1816.3	-1.9	1.732e-23	2.055e-21
LGALS1	903.3	8.1	1.659e-23	2.216e-21
MBOAT2	3015.1	-3.1	1.913e-23	2.524e-21
PPOX	3294	-2	2.076e-23	3.030e-21
CD300A	120.4	8.3	2.345e-23	3.272e-21
HK3	210.4	9.4	2.895e-23	4.005e-21
XYLT1	142.4	7.6	2.769e-23	4.100e-21
DENND3	213.5	5.5	2.927e-23	4.298e-21
ANKRD44	75.3	4.3	2.901e-23	4.487e-21
GNB5	44.2	4.4	3.780e-23	5.058e-21
PTPRCAP	66.9	7.7	3.532e-23	6.512e-21
ARHGEF37	561.1	-3.6	6.647e-23	8.159e-21
SPTAN1	101.8	7.3	6.446e-23	8.413e-21
PLXDC2	97.9	6.1	6.025e-23	8.945e-21
TWF2	100.2	2.2	6.748e-23	9.940e-21
LAIR1	396.5	8.5	7.844e-23	1.001e-20
S100A11	848.5	4.6	8.256e-23	1.017e-20
RGS19	101.9	5	1.117e-22	1.365e-20
SRGN	16589.3	6.9	1.234e-22	1.428e-20
SLC6A8	1068.7	-3.5	1.690e-22	1.450e-20
HPGDS	111.5	8.4	1.170e-22	1.645e-20
C3AR1	120.5	7.7	1.392e-22	1.694e-20
AZU1	185.7	10.7	1.407e-22	1.699e-20
NAAA	60.5	3.1	1.833e-22	2.199e-20
IL1B	69.5	5.7	2.026e-22	2.765e-20
FNBP1	132.1	6.5	2.043e-22	2.768e-20
ZNF521	64	7.2	1.699e-22	2.770e-20
CERCAM	121.6	5.4	2.555e-22	3.312e-20
NEK6	98.7	4.7	2.693e-22	3.571e-20
PBXIP1	703.7	1.8	3.337e-22	3.573e-20
CD97	313.2	2.7	3.452e-22	3.833e-20
SEMA4A	94.8	6.1	3.202e-22	3.912e-20
CST7	321.5	5.8	3.615e-22	3.958e-20
ALAS2	134100.6	-5.4	4.668e-22	5.549e-20
PTK7	35.1	7.1	5.984e-22	6.634e-20
CPXM1	103	7.8	5.773e-22	7.289e-20
PPIP5K2	4135.1	-1.9	6.269e-22	7.300e-20
CD300LF	127.7	10.1	7.653e-22	8.314e-20
TNS1	26244.5	-2.6	8.982e-22	8.433e-20
RHCE	7813.1	-4.6	1.052e-21	9.852e-20
HMHA1	352.7	3.7	9.197e-22	9.919e-20
PPP1R26	67.9	2.3	9.738e-22	1.181e-19
SPTB	17075.2	-4.1	1.525e-21	1.489e-19
CBL	80.3	5.1	2.064e-21	2.155e-19
LYZ	182.5	7.5	1.890e-21	2.441e-19
SRGAP3	49.4	5.9	4.057e-21	4.184e-19
HLA-DRA	250.6	7.3	4.443e-21	4.435e-19
LBH	6609.7	-2.7	4.222e-21	4.456e-19
PHACTR1	57.6	3.7	4.595e-21	4.529e-19
C1orf228	74.7	8.4	4.988e-21	4.885e-19
MYCT1	36.3	6.6	6.714e-21	5.374e-19
ACOT11	40.2	4.2	5.584e-21	5.547e-19
AGPAT9	226.2	6.2	5.084e-21	6.822e-19
OSBP2	10144.9	-3.9	8.733e-21	7.453e-19
SPTA1	21834.6	-3.6	1.102e-20	9.389e-19
CD84	315.1	5.4	1.076e-20	1.026e-18
RAB34	121.2	5.6	9.323e-21	1.030e-18
SLC45A3	367.9	8.1	1.169e-20	1.090e-18
TNXB	2411.1	-3.8	1.136e-20	1.152e-18
MFSD2B	2577.2	-2.4	1.537e-20	1.266e-18
UBA7	473.6	2.1	1.458e-20	1.389e-18
STAB1	64.7	8.5	1.610e-20	1.467e-18
MATK	27.2	6.5	1.618e-20	1.467e-18
STAR	50.1	5	2.318e-20	1.717e-18
FCER1G	249.7	8.1	1.468e-20	1.836e-18
C6orf25	171	5.7	1.624e-20	2.019e-18
PLAC8	94.1	6.9	2.187e-20	2.147e-18
RABGAP1L	3589.4	-1.7	2.296e-20	2.210e-18
TNFSF13	28.8	3	2.674e-20	2.342e-18
B3GALT4	52.8	3.7	2.799e-20	2.503e-18
ANKRD28	356.1	3.1	3.321e-20	2.865e-18
SASH3	171.6	7.9	2.387e-20	2.871e-18
C6orf89	3498.8	-1.8	4.215e-20	3.446e-18
